battery,step_index,step_type,comment,voltage_mean,voltage_min,voltage_max,voltage_std,voltage_delta,current_mean,current_min,current_max,current_std,current_abs_mean,temp_mean,temp_min,temp_max,temp_delta,duration_sec,n_datapoints,capacity_proxy,step_type_encoded,cycle_number
RW10,0,C,reference charge,4.199975609756098,4.196,4.2,0.0003113937886537836,0.004000000000000448,-0.018987804878048777,-0.039,-0.0,0.005353352955332428,0.018987804878048777,20.918686402439025,20.07728,23.06356,0.6687999999999974,1627.08,164,30.8946775609756,0,1.0
RW10,1,D,reference discharge,3.7270833333333337,3.2,4.116,0.16201329943286044,-0.9159999999999995,0.9999021164021165,0.999,1.005,0.00042841626298151573,0.9999021164021165,24.9398067989418,20.09283,26.36092,3.63954,7542.95,756,7542.2116689153445,1,1.0
RW10,2,C,reference charge,4.15924262607041,3.494,4.2,0.08876408576312025,0.706,-0.7192055185537584,-2.004,-0.01,0.824214034172854,0.7192055185537584,23.91861084681256,22.69028,26.82753,-3.141819999999999,10495.81,1051,7548.644473691722,0,2.0
RW10,3,D,reference discharge,3.7271986754966884,3.2,4.116,0.16228793885431977,-0.9159999999999995,0.9998582781456954,0.999,1.001,0.00045722422164636803,0.9998582781456954,24.2468099205298,21.78817,26.39203,3.1729299999999974,7533.92,755,7532.852278887418,1,2.0
RW10,4,R,pulsed load (rest),4.197407993338884,4.197,4.199,0.0005610766858604855,-0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,23.048385753538717,22.76805,23.15689,-0.12443000000000026,1200.0,1201,0.0,2,2.0
RW10,5,D,pulsed load (discharge),4.028542429284526,3.985,4.114,0.029835410068108446,-0.129,0.9998768718801996,0.999,1.003,0.0004256511487011796,0.9998768718801996,23.224378435940096,22.87692,23.57683,0.6999100000000027,600.0,601,599.9261231281198,1,2.0
RW10,6,R,pulsed load (rest),4.114316402997502,4.061,4.118,0.006855944068949261,0.057000000000000384,0.0,0.0,0.0,0.0,0.0,22.559722722731056,20.26392,23.59239,-3.297360000000001,1200.0,1201,0.0,2,2.0
RW10,7,D,pulsed load (discharge),3.9510415973377704,3.911,4.036,0.02764608634076425,-0.12499999999999956,0.9999118136439268,0.999,1.004,0.0004762689908313095,0.9999118136439268,20.578716489184693,20.27947,20.93272,0.6532499999999999,600.0,601,599.947088186356,1,2.0
RW10,8,R,pulsed load (rest),4.0466253122398,3.987,4.051,0.007916686837382836,0.06400000000000006,0.0,0.0,0.0,0.0,0.0,22.848908567860118,20.77719,23.67015,2.3330400000000004,1200.0,1201,0.0,2,2.0
RW10,9,D,pulsed load (discharge),3.882544093178036,3.847,3.969,0.026282703470440604,-0.12199999999999989,0.9998801996672215,0.999,1.003,0.00042659971230922164,0.9998801996672215,23.609206555740435,23.26576,23.87235,0.5754799999999989,600.0,601,599.9281198003329,1,2.0
RW10,10,R,pulsed load (rest),3.986520399666944,3.922,3.992,0.009584965599078628,0.06999999999999984,0.0,0.0,0.0,0.0,0.0,23.394267568692758,22.95469,23.8568,-0.8865499999999997,1200.0,1201,0.0,2,2.0
RW10,11,D,pulsed load (discharge),3.823620632279534,3.792,3.911,0.024803973708796046,-0.11900000000000022,0.9999018302828617,0.999,1.003,0.0004262750994144221,0.9999018302828617,21.77810234608985,20.68386,23.09467,-1.6642399999999995,600.0,601,599.9410981697171,1,2.0
RW10,12,R,pulsed load (rest),3.932969192339717,3.866,3.942,0.011942125918539891,0.07499999999999973,0.0,0.0,0.0,0.0,0.0,22.740032939217322,21.11937,24.01233,1.8664400000000008,1200.0,1201,0.0,2,2.0
RW10,13,D,pulsed load (discharge),3.7744442595673875,3.746,3.861,0.023204164477036965,-0.11500000000000021,0.9998985024958402,0.999,1.002,0.00041359720662524445,0.9998985024958402,23.51083813643927,23.11022,23.8568,0.6843499999999985,600.0,601,599.9391014975041,1,2.0
RW10,14,R,pulsed load (rest),3.877800166527893,3.821,3.89,0.010344846708758976,0.06899999999999995,0.0,0.0,0.0,0.0,0.0,23.52192151540383,23.20354,23.8568,-0.6221399999999981,1200.0,1201,0.0,2,2.0
RW10,15,D,pulsed load (discharge),3.731660565723794,3.708,3.809,0.01954723599270491,-0.10099999999999998,0.9999168053244593,0.999,1.006,0.0004428020486415219,0.9999168053244593,23.487728419301167,23.2191,23.70126,0.4510499999999986,600.0,601,599.9500831946756,1,2.0
RW10,16,R,pulsed load (rest),3.8307302248126565,3.783,3.835,0.006610275907739173,0.052000000000000046,0.0,0.0,0.0,0.0,0.0,23.201344088259788,22.30144,23.68571,-1.2442799999999998,1200.0,1201,0.0,2,2.0
RW10,17,D,pulsed load (discharge),3.695956738768719,3.677,3.754,0.015606265818317706,-0.07699999999999996,0.9999417637271215,0.999,1.003,0.00040578538799906466,0.9999417637271215,22.42555615640599,20.49722,23.48351,1.0420900000000017,600.0,601,599.9650582362729,1,2.0
RW10,18,R,pulsed load (rest),3.8013597002497916,3.752,3.806,0.006880241745124162,0.05400000000000027,0.0,0.0,0.0,0.0,0.0,22.01247248126561,20.32613,23.49906,-3.1418300000000023,1200.0,1201,0.0,2,2.0
RW10,19,D,pulsed load (discharge),3.6674692179700505,3.65,3.724,0.014987608888248266,-0.0730000000000004,0.9999417637271213,0.999,1.003,0.0004449040922826556,0.9999417637271213,21.92470973377704,20.31058,23.96567,3.623989999999999,600.0,601,599.9650582362727,1,2.0
RW10,20,R,pulsed load (rest),3.780238134887594,3.725,3.786,0.00848802327218963,0.06099999999999994,0.0,0.0,0.0,0.0,0.0,23.502702556203165,23.06356,23.95012,-0.8865599999999993,1200.0,1201,0.0,2,2.0
RW10,21,D,pulsed load (discharge),3.644896838602329,3.628,3.704,0.015551193115322626,-0.07600000000000007,0.9999101497504158,0.999,1.002,0.00044525243176289756,0.9999101497504158,23.620826572379368,23.06356,24.15232,1.0887600000000006,600.0,601,599.9460898502495,1,2.0
RW10,22,R,pulsed load (rest),3.76413572023314,3.703,3.773,0.010443570966048704,0.06899999999999995,0.0,0.0,0.0,0.0,0.0,23.612406594504577,23.00135,24.21453,-1.1354199999999999,1200.0,1201,0.0,2,2.0
RW10,23,D,pulsed load (discharge),3.626870216306156,3.606,3.69,0.017815558871109898,-0.08400000000000007,0.999881863560732,0.999,1.002,0.0004328682207390008,0.999881863560732,23.657031797004993,23.0169,24.38562,1.3687199999999997,600.0,601,599.9291181364392,1,2.0
RW10,24,R,pulsed load (rest),3.7440949208992502,3.679,3.753,0.011378185118934252,0.07400000000000029,0.0,0.0,0.0,0.0,0.0,23.834974171523733,23.28131,24.38562,-1.1043099999999981,1200.0,1201,0.0,2,2.0
RW10,25,D,pulsed load (discharge),3.599279534109817,3.571,3.671,0.022604059177437328,-0.09999999999999964,0.9999217970049916,0.999,1.003,0.0004106009135490642,0.9999217970049916,23.89227677204659,23.2191,24.68114,1.399829999999998,600.0,601,599.953078202995,1,2.0
RW10,26,R,pulsed load (rest),3.6945320566194835,3.644,3.699,0.006436587227522852,0.054999999999999716,0.0,0.0,0.0,0.0,0.0,23.998422822647793,23.54572,24.68114,-1.1198599999999992,1200.0,1201,0.0,2,2.0
RW10,27,D,pulsed load (discharge),3.5496289517470876,3.504,3.616,0.022894035590592075,-0.1120000000000001,0.9999084858569053,0.999,1.002,0.0004392678868552279,0.9999084858569053,24.18300747088186,23.54572,24.69669,1.1198599999999992,600.0,601,599.9450915141432,1,2.0
RW10,28,R,pulsed load (rest),3.6629283930058283,3.578,3.671,0.011803478290273594,0.09299999999999997,0.0,0.0,0.0,0.0,0.0,23.914153738551207,22.87692,24.68114,-1.5242499999999986,1200.0,1201,0.0,2,2.0
RW10,29,D,pulsed load (discharge),3.420282352941177,3.2,3.586,0.10018830644044664,-0.3859999999999997,0.9999264705882354,0.999,1.004,0.0004310103202868406,0.9999264705882354,23.645861647058823,23.14133,24.24563,1.0887399999999978,338.2,340,338.1751323529412,1,2.0
RW10,35,D,discharge (random walk),4.087651162790697,4.065,4.136,0.017197347019092635,-0.07099999999999973,0.7500498338870432,0.749,0.755,0.00042454780201275487,0.7500498338870432,22.582331960132887,22.39476,22.72138,0.32661999999999836,300.0,301,225.01495016611295,1,2.0
RW10,37,D,discharge (random walk),3.7346345514950166,3.68,3.883,0.04682886779915075,-0.20299999999999985,2.9998803986710962,2.999,3.003,0.00047423430910442204,2.9998803986710962,24.163061760797344,22.72138,25.75433,3.0329499999999996,300.0,301,899.9641196013289,1,2.0
RW10,39,C,charge (random walk),4.159655172413793,4.092,4.2,0.029793861740030805,0.10800000000000054,-2.249965517241379,-2.252,-2.249,0.0006149156724181049,2.249965517241379,25.8186924137931,25.76989,25.87876,0.10886999999999958,27.59,29,62.07654862068965,0,3.0
RW10,47,D,discharge (random walk),3.670119601328904,3.62,3.807,0.041388993928890234,-0.18699999999999983,2.999890365448505,2.999,3.004,0.0005004385445579115,2.999890365448505,27.01975392026578,25.90987,27.96294,2.053069999999998,300.0,301,899.9671096345514,1,3.0
RW10,49,C,charge (random walk),4.117777408637874,3.959,4.178,0.05034756561527586,0.21899999999999986,-1.499873754152824,-1.502,-1.499,0.0005320388222017928,1.499873754152824,27.67672564784053,26.9053,27.99405,-0.9021100000000004,300.0,301,449.9621262458472,0,4.0
RW10,51,D,discharge (random walk),3.7465415282392023,3.69,3.9,0.05051471713766564,-0.20999999999999996,2.2499136212624586,2.249,2.257,0.0005871100255822888,2.2499136212624586,27.192082890365448,27.06083,27.35635,0.23330999999999946,300.0,301,674.9740863787376,1,4.0
