speed,acceleration,power_required_kw,torque_required_nm,battery_soc,battery_temp,aux_load_kw,grade_angle,regen_available,braking,traffic_condition,current_segment,next_segment,driver_profile,trip_id,route_template,label,confidence,reason
3.0,3.754,30.24,400.0,82.98,27.83,0.64,-0.86,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
3.16,0.2,1.55,400.0,82.83,27.84,0.69,-0.15,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
7.16,5.0,39.12,400.0,82.82,27.87,0.75,-0.51,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
7.32,0.2,6.03,400.0,82.63,27.9,0.78,0.74,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
8.88,1.947,18.4,400.0,82.6,27.96,0.84,0.07,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
9.06,0.222,5.24,400.0,82.5,28.03,0.67,1.49,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
11.4,2.922,24.14,400.0,82.48,28.07,0.76,-0.35,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
11.56,0.2,5.76,400.0,82.36,28.12,0.77,0.14,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
11.72,0.2,1.0,304.8,82.33,28.14,0.82,-0.38,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
13.63,2.393,20.97,400.0,82.32,28.16,0.65,-0.1,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
15.47,2.3,23.21,400.0,82.22,28.22,0.62,-0.38,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
15.63,0.2,2.79,400.0,82.1,28.24,0.64,0.84,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
